,msname,msinstanceid,nodeid,instance_cpu_usage,instance_memory_usage,timestamp
0,e969a0c7f24365fb761f28067720558309317afce8630dfbc12a2f8644dee2b6,2d64adf48bfaa8e81b72c6ec8e691a90d72237c944c4de775000e35e2d6523d4,85ad19cedb18370e11dd3f2f5ecde656b171464734e31b1de74af98a2bc30f87,0.1549999999968956,0.676112174987793,0
1,9ffca37e87db8609aa54ef630a4dd204f02581731d323f5a6ae71855b636e2a2,07dac0b810a2192b26d08a5054bb952b06a38475e509f66c177d5c31f5464f75,5c23656eb3f2a97c0e6d472280d228593f84f4f08cc0ace9dfa91238ac406b32,0.21154166666480403,0.6676225662231445,0
2,94dce029795f9357501c763b763bf951c8290ad1744ec10872cc8a280b2b989e,2b8cd6196fb98e11b689ae9b26b413179fc0fcdfc77ec24914d4a0c20fb216dc,93a0b91487e3462150219c68a633a777f442b66d08b57a3d8182d0136795e9ab,0.16916666667287547,0.5209736824035645,0
3,a86bcd9360c8bc9843b59186ba1d8ecf2dd4b5457ed8225e30ca7c47c5555bc2,989d2516e70fc72d548fae97e76747cd08a868de0afac8a92b2e6a71b33e6758,918035a10567635e4347358eaff5abfc96c515e45e9a7a6a24ffa7d6353bc93d,0.05891666666720994,0.5230712890625,0
4,9a3ef4d24dd4e7fb8baaa9e30aea1395caa50f583630f69047c8e20f2e8d9554,af7623ab312996e60a893c6a3ce7dacb8c3c087e084f635d30de726990d74175,b6e4831928e2600fc9b3e5015ca06b141e677ee1d0d1de741fe7f3b69ece3ae9,0.25099999997764827,0.7984662055969238,0
5,106875ea53b982360288d78f72719791f7f16b0456b16ec8fe1a14b199884b08,9af2ad6c3f1d192c27ab23e645650ad0caa500491f57dd78f0a8cb53e89b8b93,c90ef5cf8713e8b7c5f5ca695c4c8815f9c11bd99d7d75b1f408c33b1ae1dbab,0.11633333333496315,0.6071743965148926,0
6,0e337f047a062e592acb1be850542d2ac66829277ec311eed311f21ac96266e3,1e9e772fe0bce43404afcc3ecd3a6e4abf91130515f92bb6b0f56f923a2ef2e6,28c4ba83b583e39a75512b5fa9bbfb1b297c04fcec4f8dcaff6d0af0bcb986fc,0.175,0.7808051109313965,0
7,94dce029795f9357501c763b763bf951c8290ad1744ec10872cc8a280b2b989e,c640655338cbe365644ce42fc515b4638315ffd80aa8ddbbe0b36bf608143b3c,a15c4e7a9ab1016289f5346d5b109a83116beb5a725889d4e8da9087ab5a7c63,0.1902500000006209,0.5194025039672852,0
8,14c502a6ca6291b0a3aac54d5506d8d1bf8947b5a875d07739a28aae74109a59,ea1b79f95dcbb2fe0b79ba0cf0802f7deb94b043490bacac24b283a3567abd9a,0804def86bc433c48bd7665358005c0a28f2901d60515c968c6178a33a65f512,0.0848333333308498,0.6473138332366943,0
9,7a481b9a132c57cae45f19d82be7b758f789203f2c796c6bdd5ceb4428ce9622,ac691d7a33f912946561a11d3729aa10fcbba47dde514903ff4281d55a373568,f3212d770a0b5d41b4ac0d45cca1c838fe34edce83a5e0cb252d5a4d5901a12f,0.15958333333255723,0.8084406852722168,0
10,b7c72dccdd6db4fb7c2cecfc47215b93c30f927d59baa33785a358853fba2b46,501dd26e279742dce334a1813ec83a698c245bb0dda67825dfe434497c63dc18,c962e6dfccd9eff5d3c9c0b0ec4840e060198c06f907353acb2ff94c196f3333,0.4262499999992239,0.7220301628112793,0
11,8182d457578bb18d3f24346c45921fbd642cb9bbcc5d1407e476e02a35b5578b,736a78dbfc88ccc018d271f39acd93c98684c8358e087190763d9fadf613a2d1,30269db7ec0a6b53fe619bea855d631412ba9c7c64cc42ee54f63d306585ea85,0.04587500000003881,0.38689374923706055,0
12,6190227e8489cba622c6675f26dbf94a0407dc21594d0dcd6776c46975b7e225,d4b61601b2bd52f682a33fe0d2019c64eca995f39d43371fdf63d77e46f574f5,135e7f7b06256dbae9c9b1e90cba224a9119c74a854b262289791347b9c204e8,0.2089791666638727,0.7149879932403564,0
13,558da361022f2c54ce6bb02912687c090acf7454f62fda75744147689918f5ea,c36c5856fc8743f59e0513a9ccb79cd13433ee813df1ed65e174cac9d7302601,70b474c11ea589fa9c6a703c7ef0426e50c16ece3b9e3b3f372d3fe7db3c2dfa,0.2399166666669771,0.7099509239196777,0
14,3322acdce65a8353e2f8a32a2bf0474526cfc62c3d13289ab64fb6a5e089e2db,d86be522e92380865968c8da3dee8c5a417abc330a529b302be40cbd9b127e17,78f5c3eb8f28e8f96b5ba13239d30d93da14d5d2784179b16275f37f860a9357,0.3023958333302289,0.8974952697753906,0
15,e9916393b398199ef017f67a1904dd9c30323405c6f77cb7e238078d1b550a23,87347c037f4a9f0d877fadc39e93699ca0c69869b905c640108e01103f9f6edb,d8141a1914a033420a2088ad3072852db5d9c4231b2caf766e1284179385ea0e,0.06102083333341094,0.3991689682006836,0
